"Date","Video Views","Profile Views","Likes","Comments","Shares"
"13 de marzo","0","0","0","0","0"
"14 de marzo","0","0","0","0","0"
"15 de marzo","0","0","0","0","0"
"16 de marzo","0","0","0","0","0"
"17 de marzo","0","0","0","0","0"
"18 de marzo","0","0","0","0","0"
"19 de marzo","0","0","0","0","0"
"20 de marzo","0","0","0","0","0"
"21 de marzo","0","0","0","0","0"
"22 de marzo","0","0","0","0","0"
"23 de marzo","0","0","0","0","0"
"24 de marzo","0","0","0","0","0"
"25 de marzo","0","0","0","0","0"
"26 de marzo","0","0","0","0","0"
"27 de marzo","0","0","0","0","0"
"28 de marzo","0","0","0","0","0"
"29 de marzo","0","0","0","0","0"
"30 de marzo","0","0","0","0","0"
"31 de marzo","0","0","0","0","0"
"1 de abril","0","0","0","0","0"
"2 de abril","0","0","0","0","0"
"3 de abril","0","0","0","0","0"
"4 de abril","0","0","0","0","0"
"5 de abril","0","0","0","0","0"
"6 de abril","0","0","0","0","0"
"7 de abril","0","0","0","0","0"
"8 de abril","0","0","0","0","0"
"9 de abril","0","0","0","0","0"
"10 de abril","0","0","0","0","0"
"11 de abril","0","0","0","0","0"
"12 de abril","0","0","0","0","0"
"13 de abril","0","0","0","0","0"
"14 de abril","0","0","0","0","0"
"15 de abril","0","0","0","0","0"
"16 de abril","0","0","0","0","0"
"17 de abril","0","0","0","0","0"
"18 de abril","0","0","0","0","0"
"19 de abril","0","0","0","0","0"
"20 de abril","0","0","0","0","0"
"21 de abril","0","0","0","0","0"
"22 de abril","0","0","0","0","0"
"23 de abril","0","0","0","0","0"
"24 de abril","0","0","0","0","0"
"25 de abril","0","0","0","0","0"
"26 de abril","0","0","0","0","0"
"27 de abril","0","0","0","0","0"
"28 de abril","0","0","0","0","0"
"29 de abril","0","0","0","0","0"
"30 de abril","0","0","0","0","0"
"1 de mayo","0","0","0","0","0"
"2 de mayo","0","0","0","0","0"
"3 de mayo","0","0","0","0","0"
"4 de mayo","0","0","0","0","0"
