# Revisión manual — @lotopdevicky
# 109 videos de TikTok sin match automático
# Formato: POST_ID | FECHA | VIEWS | TÍTULO
# Para asignar: UPDATE videos SET tiktok_post_id = 'POST_ID' WHERE video_id = 'VIDEO_ID';

7559624636787576086 | 10 Oct 2025, 18:04 |   7,671 | A por ello!
7562879587265318166 | 19 Oct 2025, 12:35 |   1,393 | Un pequeño cambio que dará a tu baño un aire nuevo!
7580475660481694998 | 05 Dec 2025, 21:37 |      65 | Magsafe batería magnética inalámbrica  Carga rápida y en movimiento  Promoción d
7580471907087043862 | 05 Dec 2025, 21:22 |      28 | Cable 4 en 1 de cristal armor Marca de calidad 🔥 cable de carga rápida 😎 Súper c
7600066523855686934 | 27 Jan 2026, 16:39 |   2,586 | Chimenea Bioetanol. Sin olores. Sin humos. Efficient y elegante. Calienta tu hog
7600329968639298838 | 28 Jan 2026, 09:42 |   8,918 | Decoración de salon. Estilo nòrdico sin ser excesivamente rùstico. Mesa de mader
7600832982944894230 | 29 Jan 2026, 18:14 |     138 | Si estás cansado de tanta lluvia y frio, un buen subwoofer puede transformar ese
7604547368133987606 | 08 Feb 2026, 18:27 |     889 | Pack ahorro con rebaja visible desde el primer paso. Aplica descuento automático
7604547118447004950 | 08 Feb 2026, 18:26 |   1,264 | Cápsulas fáciles de tomar y con envío gratis activado desde la plataforma.#ofert
7604546734286556438 | 08 Feb 2026, 18:25 |     361 | TikTok activa descuento del 30 % automáticamente en pedidos de más de 15 €.#ofer
7604542757595516182 | 08 Feb 2026, 18:09 |   1,080 | Oferta escondida: el anillo baja de precio con ciertas combinaciones. Prueba has
7604962975744675094 | 09 Feb 2026, 21:20 |     907 | Botella termo con pastillero incluido y diseños increíbles, elige la tuya y añdá
7605299011460893974 | 10 Feb 2026, 19:04 |     796 | Oferta activa en TikTok Shop: aceite de orégano en cápsulas con descuento oculto
7605298564444523798 | 10 Feb 2026, 19:02 |  13,347 | Diseño bonito y funcionalidad real. La botella bottle bottle ya está rebajada en
7605298080174411030 | 10 Feb 2026, 19:00 |     376 | Talla + color activan rebaja oculta. TikTok Shop aplica el descuento al momento 
7605297385421458710 | 10 Feb 2026, 18:58 |     537 | TikTok aplica descuento secreto sin código. Busca la talla que lo activa.#smartr
7605296805252713750 | 10 Feb 2026, 18:55 |     838 | Aceite de orégano en formato cápsula, práctico y sin sabor. Aprovecha las oferta
7605295144379665667 | 10 Feb 2026, 18:49 |     770 | Ideal para emergencias, este arrancador portátil está rebajado y en oferta hoy m
7605294029365939478 | 10 Feb 2026, 18:45 |   1,890 | Pack de cápsulas de orégano con rebaja visible solo al pasar el mínimo de pedido
7605292188854930710 | 10 Feb 2026, 18:37 |   1,028 | Pack de cápsulas de orégano con rebaja visible solo al pasar el mínimo de pedido
7605205178794446102 | 10 Feb 2026, 13:00 |   1,077 | TikTok activa descuento del 30 % automáticamente en pedidos de más de 15 €.#tikt
7605204005718887702 | 10 Feb 2026, 12:55 |   1,422 | Botella térmica para gimnasio, oficina o viajes. Diseño Top, capacidad 32oz y ah
7605203271086525699 | 10 Feb 2026, 12:53 |     277 | TikTok Shop aplica automáticamente el cupón de descuento si el total supera 15 €
