"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"12 de marzo","No llega a 7€ el Power Bank Magnético 5000mAh 🔥 Bloquéalo desde el carrito antes que suba. power bank magsafe powerbank magnetico precio #bateria #bateriaiphone #magsafe #magsafecharger #oferta","https://www.tiktok.com/@lotopdevicky/video/7611835181162319126","1 de marzo","25","6","3","31852"
"12 de marzo","OFERTA: Por menos de 7€ en Power Bank Magnético 5000mAh 🔥 Últimas unidades a este precio. power bank oferta magsafe 5000mah #bateria #powerbank #bateriaiphone #oferta #magsafefe","https://www.tiktok.com/@lotopdevicky/video/7608975300034170134","20 de febrero","22","0","3","14279"
"12 de marzo","Diseño bonito y funcionalidad real. La botella bottle bottle ya está rebajada en TikTok Shop. No te pierdas la promo.#tiktokespana #tiktokshop #Botella950ml #botella #botellatermica","https://www.tiktok.com/@lotopdevicky/video/7605298564444523798","12 de febrero","210","0","0","13349"
"12 de marzo","Paraguas automático con asa especial para cargar bolsas. Botón de abrir y cerrar el paraguas ☂️  Especial anti viento!  Compra el tuyo hoy que suben de precio! #paraguas #lluvia #viento #tormenta ","https://www.tiktok.com/@lotopdevicky/video/7606813488962407702","16 de febrero","303","21","37","12971"
"12 de marzo","Cepillo eléctrico Landot. Pelo rizado? 👩‍🦱 Alisa o riza en minutos con Landot. ¡Descubre la oferta del día! ✨. #cepillos #alisadordecabello #landot #alisador #ofertas ","https://www.tiktok.com/@lotopdevicky/video/7608686504382188822","19 de febrero","344","0","2","12182"
"12 de marzo","Como dice el refrán: “En Abril aguas mil” No te pierdas este paraguas automático y resistente, con varillas reforzadas. Oferta en TikTok Shop. ¡No la dejes escapar! #paraguas #lluvia #paraguasautomatico #ofertas #gadgetshop ","https://www.tiktok.com/@lotopdevicky/video/7608924046813662486","20 de febrero","305","0","8","11111"
"12 de marzo","Decoración de salon. Estilo nòrdico sin ser excesivamente rùstico. Mesa de madera extensible que da espacio a tu hogar.#decoracion #mueblesmodernos #estilonordico ","https://www.tiktok.com/@lotopdevicky/video/7600329968639298838","28 de enero","1536","26","61","8930"
"12 de marzo","Por menos de 7€ hoy en Power Bank Magnético 5000mAh 🔥 Toca el carrito naranja ahora. powerbank 5000mah oferta magsafe #powerbank #bateriaiphone #bateria #magsafe #oferta","https://www.tiktok.com/@lotopdevicky/video/7609038371435924758","20 de febrero","7","2","2","8236"
"12 de marzo","A por ello!","https://www.tiktok.com/@lotopdevicky/video/7559624636787576086","10 de octubre","1431","13","80","7671"
"12 de marzo","Cupón de 10€ hoy en Arrancador EIGOTRAV 🔥 No dejes pasar esta oportunidad. arrancador coche eigotrav tiktok shop españa #arrancadordecoche #oferta #cupon10euros #bateria #accesorioscoche","https://www.tiktok.com/@lotopdevicky/video/7611260291657059606","28 de febrero","5","0","1","4287"
"12 de marzo","Aplica el cupón de 10€ en Arrancador EIGOTRAV 🔥 Bloquéalo antes que suba el precio. arrancador coche bateria eigotrav precio #eigotrav #arracandorbateria #arrancador #arrancadordecoche #tiktokshopespaña","https://www.tiktok.com/@lotopdevicky/video/7612217262497418518","3 de marzo","11","0","0","4588"
"12 de marzo","Aplica el cupón de 10€ en Arrancador EIGOTRAV 🔥 Bloquéalo antes que suba el precio. arrancador coche bateria eigotrav precio #arrancadorbateria #accesorioscoche  #arrancadordecoche #tiktokshopespaña #cupon10euros","https://www.tiktok.com/@lotopdevicky/video/7610879799715745027","27 de febrero","6","0","0","4200"
"12 de marzo","300 tomas por solo 7 céntimos cada una 🔥 Bloquéalo antes que suba el precio. aceite de oregano barato vivonu 300 capsulas #aceitedeoregano🌿 #oregano #vivonu #productonatural #tiktokshopespaña","https://www.tiktok.com/@lotopdevicky/video/7609602006247836950","23 de febrero","14","2","2","3814"
"12 de marzo","Chimenea Bioetanol. Sin olores. Sin humos. Efficient y elegante. Calienta tu hogar. Se puede instalar o mover a cualquier estancia de tu casa.#chimenea #bioetanol #decoracion #decoracionhogar ","https://www.tiktok.com/@lotopdevicky/video/7600066523855686934","27 de enero","436","2","5","2596"
"12 de marzo","Elige la talla adecuada y activa el descuento secreto en TikTok Shop. Algunas opciones bajan precio!#oferta #anillo #tiktokshop #smartrings #anillointeligente #accesorios","https://www.tiktok.com/@lotopdevicky/video/7605893000119684354","15 de febrero","6","0","0","2519"
