"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"12 de marzo","¿Sólo me pasa a mi? Like o comenta si tu perro también disimula cuando lo estás mirando! #perrostiktokers #perrocaradura #miperroesunamor #mebacila","https://www.tiktok.com/@totokydeals/video/7607501145598201110","16 de febrero","2359","47","19","66821"
"12 de marzo","cuando vas de jefa por la vida pero pesas 6 kilos y no tienes dientes XD","https://www.tiktok.com/@totokydeals/video/7599674515198577942","26 de enero","5060","7","52","19333"
"12 de marzo","Todos inflamos el cv un poquito no? Brisa no iba a ser menos!! #brisapuppy #mascotastiktok #misbichos #miperroyyo #animalesgraciosos ","https://www.tiktok.com/@totokydeals/video/7610353850725256470","24 de febrero","32","1","6","479"
"12 de marzo","El rechonchi se roba el show! #caballos #humorcaballos #pixar","https://www.tiktok.com/@totokydeals/video/7600360733565668630","28 de enero","12","0","1","403"
"12 de marzo","sigueme si a ti tb te gusta remolonear en la cama con tu perro #chorradas #animalesgraciosos #madrugar #miperroyyo ","https://www.tiktok.com/@totokydeals/video/7614254577067609366","7 de marzo","42","0","0","325"
"12 de marzo","has pagado el peaje? #caballos #horse #animallove #animalesgraciosos #humor ","https://www.tiktok.com/@totokydeals/video/7603342147026177302","5 de febrero","10","0","1","297"
"12 de marzo","10€ de descuento en Arrancador EIGOTRAV 🔥 Últimas unidades con este cupón. arrancador bateria oferta coche #arrancadorcoche #eigotrav #cupon10euros #oferta #tiktokshopespaña","https://www.tiktok.com/@totokydeals/video/7615013531020250371","9 de marzo","0","0","0","345"
"12 de marzo","Light Dot 5 camisetas incluidas desde 2€ por unidad. Toca el carrito ahora. #lightdot #camisetassport #lote5camisetas #desde2euros #tiktokshopespaña","https://www.tiktok.com/@totokydeals/video/7615011090195369238","8 de marzo","0","0","0","294"
"12 de marzo","Princess but not princess #laschicassonguerreras #caballos #funny #pixarstyle #cutehorse","https://www.tiktok.com/@totokydeals/video/7600846667163684118","29 de enero","2","0","0","294"
"12 de marzo","me fliiiipaaaaan!!! ","https://www.tiktok.com/@totokydeals/video/7606460386769964310","13 de febrero","7","0","0","292"
"12 de marzo","sigueme si tambien eres un desgraciao que sale con cara de loco en todos los selfies... #selfis #desgraciado #animalesgraciosos #chorradas ","https://www.tiktok.com/@totokydeals/video/7614245736280132887","6 de marzo","6","0","1","290"
"12 de marzo","Cuando Trol conoció a Bobo... #perrostiktokers #miperroesunamor #comoelperroyelgato","https://www.tiktok.com/@totokydeals/video/7609318683642563862","21 de febrero","12","4","0","288"
"12 de marzo","comenta si lo adivinas antes del final! #adivinanzas #mascotastiktok #misbichos #lareinadelacasa ","https://www.tiktok.com/@totokydeals/video/7609056593237396758","20 de febrero","9","4","0","280"
"12 de marzo","#caballos #deruta #domanatural #compañeros ","https://www.tiktok.com/@totokydeals/video/7606976474331073814","15 de febrero","7","0","1","279"
"12 de marzo","sin presiones.... #perrostiktokers #animalesgraciosos #mascotastiktok #miperroyyo ","https://www.tiktok.com/@totokydeals/video/7605267562342993174","10 de febrero","10","1","0","276"
