Batch,Video ID,Hook,Brolls,Audio,Created
1,aceite_oregano_hookC_batch001_001,C_hook_START1.5.mp4,"e_2.mp4, d_1_START1.5.mp4, g_2_START1.5.mp4, a_4.mp4, b_1_START1.5.mp4",b1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookB_batch001_002,B_hook_START1.mp4,"g_1.mp4, a_4.mp4, c_4_START1.5.mp4, e_1.mp4",b1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookD_batch001_003,D_hook_START1.5.mp4,"e_2.mp4, c_6.mp4, a_4.mp4, b_1_START1.5.mp4, g_2_START1.5.mp4",b2_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookF_batch001_004,F_hook.mp4,"a_2.mp4, c_4_START1.5.mp4, g_1.mp4, d_2_START2.5.mp4, e_4_START1.mp4",c2_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookG_batch001_005,G_hook.mp4,"e_3_START1.mp4, c_6.mp4, a_1.mp4, d_2_START2.5.mp4, b_1_START1.5.mp4",c1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookJ_batch001_006,J_hook_START2.5.mp4,"a_2.mp4, c_6.mp4, b_1_START1.5.mp4, d_3_START1.5.mp4",b1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookE_batch001_007,E_hook_START1.mp4,"f_1_START1.mp4, a_2.mp4, g_2_START1.5.mp4, c_5_START1.5.mp4, d_1_START1.5.mp4",b2_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookH_batch001_008,H_hook.mp4,"a_2.mp4, e_3_START1.mp4, c_3.mp4, d_1_START1.5.mp4, g_2_START1.5.mp4, f_1_START1.mp4",c1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookI_batch001_009,I_hook_START2.5.mp4,"f_1_START1.mp4, a_4.mp4, g_2_START1.5.mp4, c_6.mp4, d_2_START2.5.mp4",a1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookA_batch001_010,A_hook.mp4,"c_5_START1.5.mp4, e_4_START1.mp4, f_1_START1.mp4, d_1_START1.5.mp4",c1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookF_batch001_011,F_hook.mp4,"c_5_START1.5.mp4, e_2.mp4, b_1_START1.5.mp4, d_3_START1.5.mp4, a_2.mp4",a2_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookC_batch001_012,C_hook_START1.5.mp4,"d_1_START1.5.mp4, e_2.mp4, a_4.mp4, g_2_START1.5.mp4, f_1_START1.mp4, b_1_START1.5.mp4",c2_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookJ_batch001_013,J_hook_START2.5.mp4,"d_3_START1.5.mp4, a_4.mp4, e_3_START1.mp4, c_3.mp4, g_1.mp4",a1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookG_batch001_014,G_hook.mp4,"c_4_START1.5.mp4, a_4.mp4, d_3_START1.5.mp4, f_1_START1.mp4, b_1_START1.5.mp4",b1_oregano.m4a,2026-02-07T11:47:13.031823
1,aceite_oregano_hookD_batch001_015,D_hook_START1.5.mp4,"c_5_START1.5.mp4, e_2.mp4, f_1_START1.mp4, a_4.mp4, g_1.mp4, b_1_START1.5.mp4",b2_oregano.m4a,2026-02-07T11:47:13.031823
2,aceite_oregano_hookA_batch002_001,A_hook.mp4,"b_1_START1.5.mp4, e_3_START1.mp4, g_1.mp4, c_4_START1.5.mp4, d_3_START1.5.mp4",a2_oregano.m4a,2026-02-07T12:06:26.754236
2,aceite_oregano_hookG_batch002_002,G_hook.mp4,"c_3.mp4, d_3_START1.5.mp4, a_1.mp4, b_1_START1.5.mp4",c2_oregano.m4a,2026-02-07T12:06:26.754236
2,aceite_oregano_hookC_batch002_003,C_hook_START1.5.mp4,"e_3_START1.mp4, a_2.mp4, g_1.mp4, d_3_START1.5.mp4, f_1_START1.mp4",a2_oregano.m4a,2026-02-07T12:06:26.754236
2,aceite_oregano_hookH_batch002_004,H_hook.mp4,"g_2_START1.5.mp4, e_4_START1.mp4, f_1_START1.mp4, d_3_START1.5.mp4, b_1_START1.5.mp4",a2_oregano.m4a,2026-02-07T12:06:26.754236
2,aceite_oregano_hookI_batch002_005,I_hook_START2.5.mp4,"e_4_START1.mp4, c_6.mp4, d_2_START2.5.mp4, g_1.mp4",c2_oregano.m4a,2026-02-07T12:06:26.754236
