Batch,Video ID,Hook,Brolls,Audio,Created
1,melatonina_batch001_video_001,hook_oveja.mp4,"g_1.mp4, c_2.mp4, d_4.mp4, a_2.mp4, h_1.mp4, b_1.mp4",melatonina5.m4a,2026-02-05T19:25:34.130460
1,melatonina_batch001_video_002,hook_ovejasorpresa.mp4,"c_3.mp4, b_1.mp4, d_4.mp4, e_2.mp4, a_1.mp4, g_2.mp4",melatonina5.m4a,2026-02-05T19:25:34.130460
1,melatonina_batch001_video_003,hook_ovejasorpresa.mp4,"g_2.mp4, d_1.mp4, c_1.mp4, f_3.mp4, h_2.mp4, a_2.mp4",melatonina2.m4a,2026-02-05T19:25:34.130460
2,melatonina_batch002_video_001,hook_zoom_START1.mp4,"c_4.mp4, g_1.mp4, h_1.mp4, b_2.mp4, f_1.mp4, d_1.mp4",melatonina1.m4a,2026-02-05T19:30:30.076802
2,melatonina_batch002_video_002,hook_lanzacabra_START1.mp4,"c_4.mp4, h_3.mp4, e_2.mp4, a_2.mp4, f_3.mp4, d_4.mp4",melatonina3.m4a,2026-02-05T19:30:30.076802
2,melatonina_batch002_video_003,hook_patas.mp4,"g_1.mp4, f_1.mp4, d_2.mp4, b_1.mp4, e_2.mp4, c_4.mp4",melatonina3.m4a,2026-02-05T19:30:30.076802
3,melatonina_batch003_video_001,hook_oveja-zampa.mp4,"d_4.mp4, f_2.mp4, g_2.mp4, c_1.mp4, a_2.mp4, h_2.mp4",melatonina6.m4a,2026-02-06T09:14:43.655133
4,melatonina_batch004_video_001,hook_genio.mp4,"f_2.mp4, g_2.mp4, a_2.mp4, d_3.mp4, b_2.mp4, h_2.mp4",melatonina3.m4a,2026-02-06T09:15:14.808554
5,melatonina_batch005_video_001,hook_oveja-zampa.mp4,"g_1.mp4, f_1.mp4, c_3.mp4, a_2.mp4, h_1.mp4, e_1.mp4",melatonina2.m4a,2026-02-06T09:15:36.851636
6,melatonina_batch006_video_001,hook_lanzacabra_START1.mp4,"h_2.mp4, d_4.mp4, f_1.mp4, a_3.mp4, b_2.mp4, c_1.mp4",melatonina6.m4a,2026-02-06T09:36:32.636967
7,melatonina_batch007_video_001,hook_genio.mp4,"b_1.mp4, h_1.mp4, g_3.mp4, a_1.mp4, f_1.mp4, d_2.mp4",melatonina3.m4a,2026-02-06T09:36:58.414863
8,melatonina_batch008_video_001,hook_sabana.mp4,"b_2.mp4, a_2.mp4, f_3.mp4, d_4.mp4, h_1.mp4, g_3.mp4",c1_melatonina.m4a,2026-02-06T12:09:17.888165
8,melatonina_hookF_batch008_002,F_hook_move_START1.mp4,"a_1.mp4, g_2.mp4, d_4.mp4, b_1.mp4, h_3.mp4, e_2.mp4",a1_melatonina.m4a,2026-02-06T12:09:17.888165
8,melatonina_hookG_batch008_003,G_hook_oveja.mp4,"h_3.mp4, a_1.mp4, d_3.mp4, c_2.mp4, f_3.mp4, e_1.mp4",c1_melatonina.m4a,2026-02-06T12:09:17.888165
8,melatonina_hookB_batch008_004,B_hook_boom.mp4,"d_4.mp4, a_2.mp4, h_1.mp4, c_2.mp4, g_2.mp4, f_2.mp4",c1_melatonina.m4a,2026-02-06T12:09:17.888165
8,melatonina_hookA_batch008_005,A_hook.mp4,"b_2.mp4, f_2.mp4, d_1.mp4, g_1.mp4, c_4.mp4, e_1.mp4",c2_melatonina.m4a,2026-02-06T12:09:17.888165
9,melatonina_hookA_batch009_001,A_hook.mp4,"g_4.mp4, d_1.mp4, h_3.mp4, c_1.mp4, f_2.mp4, e_2.mp4",b2_melatonina.m4a,2026-02-06T12:25:50.310939
9,melatonina_hookG_batch009_002,G_hook_oveja.mp4,"h_2.mp4, c_3.mp4, b_1.mp4, d_2.mp4, e_1.mp4, a_2.mp4",b1_melatonina.m4a,2026-02-06T12:25:50.310939
9,melatonina_hookA_batch009_003,A_hook.mp4,"g_4.mp4, f_2.mp4, d_4.mp4, c_4.mp4, b_1.mp4, h_3.mp4",c2_melatonina.m4a,2026-02-06T12:25:50.310939
9,melatonina_hookC_batch009_004,C_hook_genio.mp4,"f_2.mp4, b_2.mp4, g_1.mp4, a_1.mp4, d_3.mp4, e_1.mp4",a2_melatonina.m4a,2026-02-06T12:25:50.310939
9,melatonina_hookD_batch009_005,D_hook_lanzacabra_START1.mp4,"g_4.mp4, c_1.mp4, h_3.mp4, f_3.mp4, e_2.mp4, b_1.mp4",a2_melatonina.m4a,2026-02-06T12:25:50.310939
10,melatonina_hookD_batch010_001,D_hook_lanzacabra_START1.mp4,"b_1.mp4, g_2.mp4, c_4.mp4, h_2.mp4, f_1.mp4, a_1.mp4",c1_melatonina.m4a,2026-02-06T12:44:11.365501
11,melatonina_hookB_batch011_001,B_hook_boom.mp4,"c_1.mp4, f_1.mp4, d_1.mp4, e_1.mp4, h_2.mp4, g_4.mp4",c1_melatonina.m4a,2026-02-06T13:45:32.706533
11,melatonina_hookC_batch011_002,C_hook_genio.mp4,"h_3.mp4, f_2.mp4, a_1.mp4, b_1.mp4, e_2.mp4, g_1.mp4",b1_melatonina.m4a,2026-02-06T13:45:32.706533
11,melatonina_hookE_batch011_003,E_hook_mesilla.mp4,"c_2.mp4, g_2.mp4, a_1.mp4, f_3.mp4, d_4.mp4, h_1.mp4",b2_melatonina.m4a,2026-02-06T13:45:32.706533
11,melatonina_hookF_batch011_004,F_hook_move_START1.mp4,"c_1.mp4, g_2.mp4, d_1.mp4, e_1.mp4, a_3.mp4, h_3.mp4",c2_melatonina.m4a,2026-02-06T13:45:32.706533
11,melatonina_hookF_batch011_005,F_hook_move_START1.mp4,"d_2.mp4, c_3.mp4, g_2.mp4, h_1.mp4, a_3.mp4, b_2.mp4",c2_melatonina.m4a,2026-02-06T13:45:32.706533
